TOI,TIC ID,Name,GaiaDR3,Prob,TESS Disposition,TFOPWG Disposition,Comments,TESS Mag,TESS Mag err,Source_1,Detection,Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,ra_deg,dec_deg,Pipeline Signal ID,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source_2,RandomI,e_RAdeg,e_DEdeg,RPlx,PM,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag_y,o_BPmag,FBP,e_FBP,RFBP,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-G,G-RP,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff,B_Teff,logg,b_logg,B_logg,[Fe/H],b_[Fe/H],B_[Fe/H],Dist,b_Dist,B_Dist,A0,b_A0,B_A0,AG,b_AG,B_AG,E(BP-RP),b_E(BP-RP),B_E(BP-RP),Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations
6715.01,460950389,melotte102,5239758155778687360,1.0,PC,PC,host is a BY Dra variable star; low MES,11.649,0.006,spoc-s01-s65-b02,SPOC,2460014.968644,0.0025520527,2.86187817378244,0.00022133057,2.28397913897098,0.37481853,2.664395,0.241881,2450.98999558107,222.75552,3.90336408333077,1.8246257,220.085855535709,982.353467888066,9.851493,150.336,0.5265,4743.0,121.631,4.51969,0.0960099,0.793587028980255,0.0548744,,,0.76,0.0915195,"63,64",2023-10-05,2023-10-05,2024-05-20 00:00:00,159.1579583333333,-64.79823055555555,1,10:36:37.91,-64:47:53.63,-17.585,0.04,10.299,0.036,Gaia DR3 5239758155778687360,159.15796258208,-64.79822926047,0.0,0.0,179,1636148068921376768,5239758155778687360,850306293,0.0078,0.0084,711.1956,20.477,-0.002,-0.0113,-0.0766,0.138,0.178,0.1927,0.0771,0.1871,0.0892,0.1185,368,368,366,2,-2.4741,434.2,0.024,0.75286,31,0,1.449,43,27,0.014748,49,0.01851,166.9,0,0,0.908,0,403,222884.50445,179.494,1241.74,12.317167,47,93688.6,262.515,356.889,0.004128,44,184451.0,423.767,435.266,0.004528,1.248,0.0,0.0,0.0,0.0,0.0,0.592157,0.733977,1.0,20.0,6.0,16.0,32.247,13.275,0.0,867.767,29.49,4500.0,2.5,-0.75,111.0,,,,11.291707,0.014065,14.0,,VARIABLE,0.0,0.0,0.997667,4716.5,4710.0,4723.0,4.4992,4.497,4.5013,-0.2811,-0.2908,-0.2718,150.3268,150.0915,150.5505,0.3769,0.3699,0.3831,0.2923,0.2868,0.2972,0.1554,0.1525,0.158,MARCS,159.15814614068,-64.79827588394,0.162185,0.155878,0.1012,TIC 460950389.01,2,4,4,2,3,4,4,10.8,67.3,14.54,3,0,4
6705.01,379717270,hsc2675,5895008644342480640,1.0,PC,PC,variable host; multiple stars in pixel,10.2734,0.006,spoc-s01-s65-b02,SPOC,2459336.341283,0.00079319027,8.44570424804983,1.3504302e-05,1.68618785919645,0.06359916,4.186754,0.183386,3848.71791654058,168.89085,21.1100738452698,1.1485826,1720.41381760536,1642.58548223388,27.319323,478.245,8.6025,6392.0,197.0,3.5,0.74,2.8927800655365,0.131065,,,1.36,0.227685,"38,65",2023-10-05,2023-10-05,2023-10-19 12:10:53,220.00391666666664,-52.91005,1,14:40:00.94,-52:54:36.18,0.761,0.071,-9.097,0.077,Gaia DR3 5895008644342480640,220.00390269772,-52.91005005033,0.0,0.0,151,1636148068921376768,5895008644342480640,1237251213,0.0085,0.0121,124.2388,9.19,-0.5567,0.181,-0.2286,0.1696,-0.0319,0.1152,0.1916,-0.2878,0.1524,-0.6084,724,724,707,17,2.9448,1661.7,0.098,18.948,31,1,1.556,82,18,0.027552,89,0.05538,116.3,0,0,1.079,1,716,979576.58881,119.548,8193.97,10.709771,81,525678.0,146.868,3579.26,0.002807,75,654307.0,129.228,5063.19,0.003785,1.205,0.0,1.0,0.0,0.0,0.0,0.326971,0.501329,1.0,13.0,6.0,11.0,64.467,2.0011,0.041499,702.919,5.44,6000.0,3.5,-0.5,444.0,21.2785,4.9795,6.0,9.988832,0.018691,6.0,,NOT_AVAILABLE,0.0,0.0,0.999926,6222.8,6190.7,6234.0,3.5939,3.5846,3.6008,-0.402,-0.4049,-0.398,503.1968,499.724,507.6992,0.4218,0.4023,0.4285,0.3595,0.3427,0.3653,0.1948,0.1856,0.198,MARCS,220.00389573298,-52.91000942038,0.19408,0.28487,-0.6194,,3,4,3,3,1,4,4,56.8,86.0,317.0,3,0,0
6650.04,64837857,ascc123,2003378188041736320,1.0,PC,PC,single transit at TBJD ~2878; potential multi,10.0252,0.006,qlp-s84-ffi,QLP,2459878.034895,0.034347,0.0,0.0,6.426,0.941,1.561325,0.147064,1437.0,135.442,5.18833,0.365525,77.417,826.0,9.0,237.169,1.883,6500.6,163.2,4.32,0.08,1.37,0.06,,,1.438,0.227382,"16,17,57,77,83,84",2025-01-09,2025-01-09,2025-01-16 12:03:03,338.80533333333324,54.773555555555554,4,22:35:13.28,54:46:24.8,12.303,0.05,-0.578,0.049,Gaia DR3 2003378188041736320,338.8053345215,54.77355645131,0.0,0.0,135,1636148068921376768,2003378188041736320,19065753,0.0128,0.0128,263.6131,12.211,-0.1363,0.3696,-0.0622,-0.0541,0.0191,-0.0917,0.0108,-0.1878,0.0661,-0.282,349,349,345,4,0.1447,928.03,0.12,19.53,31,1,1.603,40,24,0.02527,61,0.01976,175.7,0,0,1.005,0,446,1356156.8132,339.422,3995.49,10.356592,51,795185.0,305.607,2601.99,0.002821,52,816680.0,211.934,3853.47,0.00379,1.189,0.0,0.0,0.0,0.0,0.0,0.23078,0.388826,1.0,21.0,5.0,15.0,90.773,6.21,0.0,922.65,14.52,5750.0,3.0,0.0,440.0,39.3972,5.5755,11.0,9.815873,0.008627,13.0,,NOT_AVAILABLE,0.0,0.0,0.998613,6529.8,6518.6,6539.8,4.2003,4.1949,4.2052,-0.285,-0.2937,-0.2766,235.5751,234.6617,236.4276,0.1077,0.1014,0.1132,0.094,0.0885,0.0988,0.0508,0.0478,0.0534,MARCS,338.80524053676,54.77355901125,0.25821,0.257853,-0.2737,TIC 64837857.04,3,4,3,3,4,4,4,,,23.72,2,29,5
6650.03,64837857,ascc123,2003378188041736320,1.0,PC,PC,potential multi,10.0252,0.006,qlp-s84-ffi,QLP,2460599.086821,0.0017665,8.9965133,2.22e-05,2.842,0.492,1.073238,0.051261,988.0,47.2118,4.26079,0.214738,160.463,991.0,13.0,237.169,1.883,6500.6,163.2,4.32,0.08,1.37,0.06,,,1.438,0.227382,"16,17,57,77,83,84",2025-01-09,2025-01-09,2025-01-16 12:03:03,338.80533333333324,54.773555555555554,3,22:35:13.28,54:46:24.8,12.303,0.05,-0.578,0.049,Gaia DR3 2003378188041736320,338.8053345215,54.77355645131,0.0,0.0,135,1636148068921376768,2003378188041736320,19065753,0.0128,0.0128,263.6131,12.211,-0.1363,0.3696,-0.0622,-0.0541,0.0191,-0.0917,0.0108,-0.1878,0.0661,-0.282,349,349,345,4,0.1447,928.03,0.12,19.53,31,1,1.603,40,24,0.02527,61,0.01976,175.7,0,0,1.005,0,446,1356156.8132,339.422,3995.49,10.356592,51,795185.0,305.607,2601.99,0.002821,52,816680.0,211.934,3853.47,0.00379,1.189,0.0,0.0,0.0,0.0,0.0,0.23078,0.388826,1.0,21.0,5.0,15.0,90.773,6.21,0.0,922.65,14.52,5750.0,3.0,0.0,440.0,39.3972,5.5755,11.0,9.815873,0.008627,13.0,,NOT_AVAILABLE,0.0,0.0,0.998613,6529.8,6518.6,6539.8,4.2003,4.1949,4.2052,-0.285,-0.2937,-0.2766,235.5751,234.6617,236.4276,0.1077,0.1014,0.1132,0.094,0.0885,0.0988,0.0508,0.0478,0.0534,MARCS,338.80524053676,54.77355901125,0.25821,0.257853,-0.2737,TIC 64837857.03,3,4,3,3,4,4,4,5.1,42.5,16.97,2,29,5
6650.02,64837857,ascc123,2003378188041736320,1.0,PC,PC,potential multi near 3:2 resonance,10.0252,0.006,qlp-s84-ffi,QLP,2460578.526718,0.0043036,30.5055627,0.0003279,6.967,1.76,1.926719,0.159404,1773.0,146.806,5.65993,0.375427,221.595,1074.0,15.0,237.169,1.883,6500.6,163.2,4.32,0.08,1.37,0.06,,,1.438,0.227382,"16,17,57,77,83,84",2025-01-09,2025-01-09,2025-01-16 12:03:01,338.80533333333324,54.773555555555554,2,22:35:13.28,54:46:24.8,12.303,0.05,-0.578,0.049,Gaia DR3 2003378188041736320,338.8053345215,54.77355645131,0.0,0.0,135,1636148068921376768,2003378188041736320,19065753,0.0128,0.0128,263.6131,12.211,-0.1363,0.3696,-0.0622,-0.0541,0.0191,-0.0917,0.0108,-0.1878,0.0661,-0.282,349,349,345,4,0.1447,928.03,0.12,19.53,31,1,1.603,40,24,0.02527,61,0.01976,175.7,0,0,1.005,0,446,1356156.8132,339.422,3995.49,10.356592,51,795185.0,305.607,2601.99,0.002821,52,816680.0,211.934,3853.47,0.00379,1.189,0.0,0.0,0.0,0.0,0.0,0.23078,0.388826,1.0,21.0,5.0,15.0,90.773,6.21,0.0,922.65,14.52,5750.0,3.0,0.0,440.0,39.3972,5.5755,11.0,9.815873,0.008627,13.0,,NOT_AVAILABLE,0.0,0.0,0.998613,6529.8,6518.6,6539.8,4.2003,4.1949,4.2052,-0.285,-0.2937,-0.2766,235.5751,234.6617,236.4276,0.1077,0.1014,0.1132,0.094,0.0885,0.0988,0.0508,0.0478,0.0534,MARCS,338.80524053676,54.77355901125,0.25821,0.257853,-0.2737,TIC 64837857.02,3,4,3,3,4,4,4,3.8,40.9,27.5,2,29,5
6650.01,64837857,ascc123,2003378188041736320,1.0,PC,PC,potential multi; possible additional stellar or BD companion unrelated to ~20 d PC (see observing notes),10.0252,0.006,qlp-s84-ffi,QLP,2460582.711665,0.0003308,20.3292125,8.7e-06,6.584,0.278,11.486838,0.181162,10524.0,166.842,14.2065,0.593607,162.179,994.0,128.0,237.169,1.883,6500.6,163.2,4.32,0.08,1.37,0.06,,,1.438,0.227382,"16,17,57,77,83,84",2023-09-21,2025-01-09,2025-01-14 12:19:16,338.80533333333324,54.773555555555554,1,22:35:13.28,54:46:24.8,12.303,0.05,-0.578,0.049,Gaia DR3 2003378188041736320,338.8053345215,54.77355645131,0.0,0.0,135,1636148068921376768,2003378188041736320,19065753,0.0128,0.0128,263.6131,12.211,-0.1363,0.3696,-0.0622,-0.0541,0.0191,-0.0917,0.0108,-0.1878,0.0661,-0.282,349,349,345,4,0.1447,928.03,0.12,19.53,31,1,1.603,40,24,0.02527,61,0.01976,175.7,0,0,1.005,0,446,1356156.8132,339.422,3995.49,10.356592,51,795185.0,305.607,2601.99,0.002821,52,816680.0,211.934,3853.47,0.00379,1.189,0.0,0.0,0.0,0.0,0.0,0.23078,0.388826,1.0,21.0,5.0,15.0,90.773,6.21,0.0,922.65,14.52,5750.0,3.0,0.0,440.0,39.3972,5.5755,11.0,9.815873,0.008627,13.0,,NOT_AVAILABLE,0.0,0.0,0.998613,6529.8,6518.6,6539.8,4.2003,4.1949,4.2052,-0.285,-0.2937,-0.2766,235.5751,234.6617,236.4276,0.1077,0.1014,0.1132,0.094,0.0885,0.0988,0.0508,0.0478,0.0534,MARCS,338.80524053676,54.77355901125,0.25821,0.257853,-0.2737,TIC 64837857.01,3,4,4,3,4,4,4,32.8,155.1,131.44,2,29,5
6248.01,154304816,ascc124,1984154395449640832,1.0,PC,PC,found in faint-star QLP search; Gaia DR3 RV error ~3.8 km/s; v-shaped; likely too large,12.7841,0.01,spoc-s14-s60-b0H,SPOC/QLP,2459828.699823,0.0018395581,3.85289330861965,0.00023874505,2.2041562469395,0.15548569,8.865567,0.495089,8132.24154441662,455.88983,18.8912058354084,20.935768,974.481682862297,1424.99443928394,18.92265,701.295,8.636,6306.0,131.46,4.267,0.0818397,1.35594999790192,0.0603015,,,1.24,0.182407,"56,57",2023-04-03,2023-04-03,2023-04-04 12:14:00,342.410625,46.34998333333333,1,22:49:38.55,46:20:59.94,0.348,0.029,-1.504,0.026,Gaia DR3 1984154395449640832,342.41062855994,46.34998295255,0.0,0.0,140,1636148068921376768,1984154395449640832,324459875,0.008,0.0084,128.3097,1.575,-0.2801,-0.0006,-0.4407,0.0513,0.1171,0.0434,-0.2753,-0.0371,0.0002,-0.2589,530,0,528,2,-0.7832,514.57,0.0,0.0,31,0,1.553,61,26,0.015639,76,0.01265,173.8,0,0,0.975,0,636,97460.3693,12.7844,7623.36,13.215297,72,52053.1,27.4289,1897.75,0.002848,69,65327.5,20.9674,3115.67,0.003795,1.204,0.0,2.0,0.0,0.0,0.0,0.332129,0.505141,2.0,34.0,6.0,19.0,18.516,,,1001.819,,5750.0,2.0,-1.0,111.0,,,,12.487547,0.026239,28.0,,NOT_AVAILABLE,0.0,0.0,0.999978,,,,,,,,,,,,,,,,,,,,,,,342.41062628376,46.34998977277,0.160795,0.159302,-0.2545,TIC 154304816.01,3,4,3,3,3,4,4,53.8,78.0,317.0,2,0,2
6047.01,115451738,upk369,3447802181031092992,1.0,PC,PC,v-shaped; multiple stars in pixel,14.1279,0.014,spoc-s01-s72-b0A-PC,SPOC,2459911.453223,0.0033578407,2.08143446337821,2.4788958e-05,6.73074237612026,0.22422272,18.339517,0.915566,16749.4607119471,842.9118,14.7083576066199,1.0595632,808.667193590552,1360.07295811659,19.349306,690.466,20.298,5583.0,123.0,4.46043,,0.96969997882843,,,,0.99,,"59,71,72",2023-02-08,2024-09-23,2024-10-01 12:15:24,83.73087499999998,31.076491666666666,1,05:34:55.41,31:04:35.37,0.108,0.064,-2.863,0.049,Gaia DR3 3447802181031092992,83.73088022393,31.07649220579,0.0,0.0,93,1636148068921376768,3447802181031092992,337061020,0.0239,0.0182,48.1686,2.901,-0.03,0.0405,0.0864,0.1322,-0.4299,0.151,-0.4489,0.0078,0.3542,-0.0828,249,0,248,1,0.0138,248.93,0.0,0.0,31,1,1.48,30,17,0.043423,31,0.05251,178.0,0,0,0.999,0,247,24047.41378,14.3968,1670.33,14.734696,28,10912.7,28.1126,388.179,0.003951,27,18845.2,37.1949,506.66,0.004345,1.237,0.0,0.0,0.0,0.0,0.0,0.509012,0.674801,2.0,10.0,0.0,10.0,3.701,,,750.978,,5750.0,1.0,-0.5,111.0,,,,13.665092,0.147536,11.0,,VARIABLE,0.0,0.0,0.99997,5654.2,5621.9,5695.4,4.4568,4.4307,4.4863,-0.1889,-0.2218,-0.1468,648.0561,636.3707,661.2344,0.8491,0.8285,0.8733,0.6891,0.672,0.7095,0.3714,0.3622,0.3823,MARCS,83.73088017335,31.07650509703,0.497517,0.338841,-0.0953,TIC 115451738.01,3,4,3,3,3,4,4,45.2,44.2,317.0,0,0,1
5390.01,8853478,hsc1559,697170125259731456,1.0,PC,PC,period could be half (7.53 d); faint star 2.5 arcsec away,10.9762,0.007,spoc-s48-b02,SPOC,2459617.289687,0.0023238303,15.0619708266323,0.0032604116,3.29141068362721,0.33856595,3.017487,0.292111,2775.34945800275,269.0077,4.68748302603037,1.1254267,45.2317162993264,661.424863493165,9.694882,176.69,1.8965,5441.34,142.395,4.51596,0.0882093,0.890606999397278,0.0558995,0.362,0.024,0.949,0.125734,48,2022-03-24,2022-03-24,2023-11-26 00:00:00,142.44429166666666,30.062908333333333,1,09:29:46.63,30:03:46.47,-19.864,0.087,-22.214,0.072,Gaia DR3 697170125259731456,142.44430049027,30.06290485061,0.0,0.0,120,1636148068921376768,697170125259731456,296499115,0.0212,0.0156,223.4396,29.711,-0.5287,-0.4908,-0.398,0.4601,0.27,0.4181,-0.5635,0.4187,-0.353,-0.5379,282,282,279,3,-1.8931,803.79,0.121,18.281,31,1,1.523,32,17,0.039859,43,0.0386,132.1,0,0,0.919,0,350,479410.73708,413.184,1160.28,11.485598,37,240941.0,480.983,500.934,0.003533,35,338875.0,549.549,616.641,0.004169,1.209,0.0,0.0,0.0,0.0,0.0,0.39817,0.562799,1.0,17.0,9.0,11.0,46.7,0.93915,0.10619,970.824,7.57,5500.0,4.5,0.25,222.0,,,,10.711829,0.016839,6.0,,NOT_AVAILABLE,0.0,0.0,0.999739,5481.3,5465.0,5486.9,4.5491,4.5405,4.5513,0.2641,0.2418,0.2701,173.9278,172.7475,174.6949,0.1456,0.1357,0.1497,0.1194,0.1112,0.1227,0.0631,0.0587,0.0649,MARCS,142.4444018025,30.06300358386,0.376625,0.294318,-0.5572,,3,4,3,3,4,4,4,4.5,47.8,19.85,1,2,4
5358.01,46631742,melotte22,119520079331712896,1.0,PC,PC,found in faint-star QLP search; L1 candidate,11.5278,0.006,spoc-s01-s72-b0A-PC,FAINT,2459450.140226,0.0014772407,2.65991324455985,1.1119833e-05,2.16370697977457,0.17323726,1.367637,0.099286,1258.84684443986,91.442024,3.40873385921814,0.35318363,231.44732388829,994.793159964621,14.823005,138.708,1.063,4636.3,110.2,4.5,0.1,0.802523970603943,0.0636332,0.0535241,0.0251917,0.736,0.0825654,"18,42,43,44,58,70,71",2022-02-28,2024-09-08,2024-10-01 12:15:24,54.18391666666666,28.55026944444445,1,03:36:44.14,28:33:00.97,19.873,0.091,-45.404,0.062,Gaia DR3 119520079331712896,54.18390037719,28.55026280043,0.0,0.0,79,1636148068921376768,119520079331712896,1085083769,0.0135,0.0101,484.2485,49.603,0.1165,0.1987,-0.201,0.1482,-0.243,0.164,0.3276,0.0457,0.0578,0.2566,234,234,234,0,1.2358,398.95,0.055,3.7741,31,1,1.454,27,15,0.023792,32,0.05715,173.6,0,0,1.057,0,274,252465.86902,119.752,2108.25,12.18186,28,107589.0,172.96,622.045,0.003291,27,205912.0,245.025,840.373,0.003994,1.242,0.0,0.0,0.0,0.0,0.0,0.577263,0.718171,1.0,10.0,3.0,8.0,25.955,0.27362,0.422474,870.04,6.78,4750.0,4.5,0.0,222.0,,,,11.195373,0.016619,7.0,,VARIABLE,0.0,0.0,0.999884,4765.4,4760.5,4770.5,4.5787,4.5769,4.5806,0.1118,0.1052,0.1185,138.0455,137.7535,138.3395,0.1722,0.1661,0.1782,0.1332,0.1284,0.1378,0.0697,0.0672,0.0722,PHOENIX,54.18380060315,28.55046509162,0.266038,0.195643,0.2419,,2,4,2,2,3,4,4,8.7,56.8,11.55,1,12,3
